구,시설명,주소,Latitude,Longitude,법정동(EDM_NM)
서대문구,서대문구 안산자락길 1.,서울 서대문구 홍제동 33-110,37.5819063,126.942025,홍제동
서대문구,서대문구 홍제1동주민센터,서울 서대문구 통일로 435-1 홍제제1동주민센터,37.58767,126.944944,홍제동
서대문구,서대문구 홍제2동주민센터,서울 서대문구 통일로34길 27,37.5860669,126.9493506,홍제동
서대문구,서대문구 무악재역,서울 서대문구 통일로 361,37.5823607,126.9504375,홍제동
서대문구,서대문구 홍제3동주민센터,서울 서대문구 세검정로4길 32 홍제제3동주민센터,37.5937254,126.9497493,홍제동
서대문구,서울지체장애인협회 서대문지회,서울 서대문구 세검정로 78-19,37.5951491,126.9490259,홍제동
서대문구,서대문구 홍은1동주민센터,서울 서대문구 홍은중앙로 85 홍은1동주민센터,37.5988376,126.9471453,홍은동 
서대문구,서대문구 안산자락길 2.,서울 서대문구 현저동 107-553,37.5704548,126.9539305,현저동
서대문구,서대문구 충현동주민센터,서울 서대문구 북아현로22길 38 충현동주민센터,37.5647846,126.9546941,북아현동
서대문구,서대문구 충현동자치회관,서울 서대문구 경기대로 40 충현동 자치회관,37.5628964,126.962342,충정로3가
서대문구,서대문구 충정로역,서울 서대문구 서소문로 17,37.5594926,126.9638176,충정로3가
서대문구,서대문구 서대문장애인복지관,서울 서대문구 북아현로 24 북아현동주민센터,37.559452,126.9569996,북아현동
서대문구,서대문구 신촌동주민센터,서울 서대문구 이화여대길 92-8,37.5595017,126.9434941,대현동
서대문구,서대문구 독립문역,서울 서대문구 통일로 247,37.5743009,126.9559178,현저동
양천구,양천장애인자립생활센터,서울특별시 양천구 지양로5길 5,37.5205714,126.8338382,신정동
양천구,지체장애인협회양천구지회,서울특별시 양천구 신월로 126,37.5162606,126.8379267,신월동
양천구,양천장애인종합복지관,서울특별시 양천구 목동동로 159,37.5198615,126.8699119,신정동
양천구,신목종합사회복지관,서울특별시 양천구 신목로 5,37.5176196,126.8730296,신정동
양천구,목동종합사회복지관,서울특별시 양천구 목동중앙북로8길 104,37.5441952,126.8663841,목동
중구,중구청(별관 1층 안내데스크),서울특별시 중구 창경궁로 17,37.5637584,126.9975517,예관동
중구,서울시청(서소문별관 1층),서울특별시 중구 덕수궁길 15,37.5642629,126.9746757,서소문동
중구,서울시청(본관 1층),서울특별시 중구 세종대로 110,37.5663797,126.9777154,태평로1가
중구,서울도서관(1층 장애인자료실),서울특별시 중구 세종대로 110,37.5663797,126.9777154,태평로1가
중구,중구 구민회관,서울특별시 중구 을지로39길 40,37.5685235,127.0059098,을지로6가
중구,중구 구민복지관,서울특별시 중구 퇴계로 460,37.5650538,127.0227775,신당동
중랑구,구립직업재활센터,서울특별시 중랑구 숙선옹주로9길 55,37.6173084,127.0836351,묵동
중랑구,신내노인종합복지관,서울특별시 중랑구 신내로15길 175,37.6148019,127.0879565,신내동
중랑구,서울시립대학교 종합사회복지관,서울특별시 중랑구 신내로 115,37.6092166,127.0946652,신내동
중랑구,신내종합사회복지관,서울특별시 중랑구 봉화산로 153,37.6052616,127.0911015,상봉동
중랑구,원광장애인종합복지관,서울특별시 중랑구 신내로56,37.6041626,127.096064,신내동
중랑구,망우역,서울특별시 중랑구 망우로55길 11-10,37.5991217,127.0910742,상봉동
중랑구,상봉역,서울특별시 중랑구 망우로 297,37.5967056,127.0860055,상봉동
중랑구,중랑역,서울특별시 중랑구 중랑역로 9,37.5947928,127.0757207,중화동
중랑구,노인종합복지관,서울특별시 중랑구 겸재로9길 45,37.5883679,127.077844,면목동
중랑구,면목역,서울특별시 중랑구 면목로 407,37.5891527,127.0873411,면목동
중랑구,사가정역,서울특별시 중랑구 사강정로 393,37.5817877,127.0843345,면목동
중랑구,면목종합사회복지관,서울특별시 중랑구 용마산로45길 36,37.5737809,127.0879272,면목동
중랑구,면목5동 주민센터,서울특별시 중랑구 동일로 619,37.6580211,127.0387508,면목동
